latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
41.1488,142.516,60.68,4.6,47,0.99,0.8,7.15,7.157,0.092,35
-55.82,-27.8286,72.921,4.7,19,5.211,1.02,8.52,10.056,0.123,20
51.3044,159.6645,10.0,4.6,46,1.832,0.96,8.23,1.873,0.084,43
-4.5677,102.7394,62.773,4.2,31,0.298,0.36,8.29,5.39,0.121,19
-2.1892,139.0948,10.0,4.4,28,1.063,1.18,5.82,1.873,0.11,24
30.143,103.6923,10.0,4.2,23,5.797,0.66,13.67,1.943,0.131,16
-6.1773,131.1885,65.107,4.6,56,2.083,0.55,7.51,7.54,0.083,43
50.0007,159.5453,10.0,4.2,16,3.078,0.27,11.38,1.998,0.177,9
29.3051,129.4331,10.0,4.9,70,2.367,1.05,5.14,1.866,0.045,158
53.1151,160.9712,10.0,4.3,26,1.404,0.56,10.26,1.943,0.133,16
-17.4643,167.9105,20.208,4.9,27,2.118,0.66,10.13,5.551,0.177,14
39.1454,28.1083,17.179,4.0,28,0.939,0.99,4.23,2.814,0.26,4
2.6308,127.2557,84.922,4.3,40,1.85,0.74,9.96,8.768,0.094,32
51.1954,157.6095,78.998,4.3,35,1.917,0.6,12.31,8.61,0.086,38
-21.2977,-69.0694,105.016,4.3,20,0.465,0.55,4.16,4.645,0.169,10
26.6443,54.1759,15.34,4.5,110,2.491,0.43,8.03,4.336,0.055,102
-17.7943,-178.6656,565.087,4.3,82,2.289,0.71,13.08,8.307,0.062,72
-31.0885,-178.2767,43.562,4.7,17,1.846,0.8,8.0,8.38,0.143,15
50.1812,158.172,10.0,4.5,73,2.862,0.55,9.86,1.883,0.071,59
51.8051,160.8378,10.0,5.2,112,1.812,0.95,7.16,1.847,0.025,526
52.1778,157.7694,96.387,4.6,18,0.933,1.37,11.1,9.086,0.136,16
-21.7903,-68.5845,120.568,4.6,56,0.611,1.0,5.31,4.289,0.049,126
51.4757,159.519,10.0,5.3,116,1.64,0.85,7.06,1.842,0.022,682
-12.2556,167.1956,255.664,4.7,66,3.172,0.64,11.22,6.696,0.035,252
51.22,159.3297,10.0,4.8,75,1.854,0.84,10.44,1.895,0.061,83
2.9712,-31.3943,10.0,4.8,157,9.831,0.64,10.65,1.875,0.047,147
54.2018,-163.1092,28.982,3.5,62,0.578,0.86,2.75,10.185,0.222,5
-52.3544,28.0513,10.0,4.5,13,20.645,0.85,12.72,1.666,0.163,12
-20.7196,173.6803,493.66,4.2,27,5.081,0.69,17.67,14.412,0.118,23
51.5314,159.6948,10.0,4.8,121,1.626,0.79,9.98,1.894,0.056,98
60.5366,-139.9898,5.0,4.2,39,0.461,1.11,1.96,1.874,0.265,7
51.5097,159.6275,27.756,4.6,33,1.631,0.61,9.58,5.801,0.107,26
-15.4349,67.0469,10.0,4.4,30,5.545,0.78,12.34,1.866,0.115,22
38.8235,70.6829,10.0,4.1,38,1.086,0.96,4.65,1.918,0.107,24
30.2332,103.1203,10.0,4.3,35,5.515,0.69,9.03,1.908,0.109,24
1.6522,127.2482,113.578,5.1,73,4.725,0.86,8.11,5.697,0.05,128
51.6023,159.5305,10.0,4.8,78,1.523,0.69,7.63,1.864,0.057,97
-24.31,-67.2445,187.979,4.5,23,1.601,0.73,10.94,10.213,0.128,18
29.211,129.4627,10.0,4.5,19,2.445,1.07,6.44,1.92,0.157,12
37.5599,72.4465,191.888,4.2,39,0.752,0.76,8.66,4.525,0.146,13
2.969,-31.1441,10.0,4.9,44,18.471,0.75,11.84,1.845,0.084,44
-23.3734,179.0041,546.395,4.6,57,5.67,0.84,12.26,8.892,0.031,311
-8.5233,118.3239,133.058,5.0,64,0.62,0.57,7.58,4.725,0.077,54
4.5081,125.5362,146.401,4.2,29,0.23,0.91,10.92,4.359,0.11,23
-28.5559,-176.8027,35.0,4.6,22,1.203,0.79,10.99,1.936,0.123,20
5.7465,61.397,10.0,4.4,34,23.38,0.95,13.81,1.936,0.108,25
19.9758,-70.6098,10.0,4.3,82,0.547,0.64,4.28,1.867,0.053,100
52.2135,161.644,10.0,4.8,81,1.997,0.61,10.2,1.852,0.042,175
14.0807,-93.2214,10.0,4.3,59,1.499,0.95,6.28,1.961,0.059,81
-7.3281,126.7221,398.062,4.7,86,3.422,0.7,8.27,7.448,0.051,119
49.519,158.4543,10.0,4.4,34,3.511,0.6,12.45,1.912,0.105,26
-41.6242,-83.5423,10.0,4.6,29,9.837,0.97,6.97,1.923,0.105,27
52.8692,160.7137,10.0,4.7,30,1.258,1.09,11.39,1.972,0.108,26
34.8716,23.3565,44.531,4.9,75,2.578,0.79,7.8,7.226,0.04,200
16.4974,146.0926,130.853,4.2,19,1.283,0.43,18.14,9.362,0.137,15
51.9095,161.5172,10.0,4.3,22,2.079,0.87,10.05,1.936,0.161,11
50.9168,160.3804,10.0,4.1,22,2.366,0.38,9.4,1.835,0.175,9
18.3838,145.83,188.605,4.3,21,3.126,0.85,13.94,8.65,0.129,17
49.9132,155.8791,83.59,4.4,35,3.395,0.58,12.3,8.402,0.099,29
-19.4649,-66.7624,253.807,4.3,20,2.302,0.78,7.88,7.086,0.168,10
-15.888,-75.4768,10.0,4.7,43,4.098,1.03,10.2,1.899,0.075,54
36.1705,34.1984,10.0,4.2,26,1.399,0.94,5.29,1.654,0.2,7
51.2727,158.5086,35.0,4.3,27,1.756,0.74,10.75,1.987,0.122,19
41.008,142.7964,41.46,4.2,41,1.042,0.55,7.56,8.283,0.102,27
-22.9061,-66.7678,213.249,4.2,20,1.302,1.06,10.3,8.258,0.159,11
-20.0735,-69.1103,108.936,4.8,64,0.078,0.89,4.81,2.907,0.032,302
-6.5797,104.4407,54.834,4.5,37,1.76,0.8,9.57,8.82,0.092,35
-23.3907,-175.4457,36.768,5.0,52,6.254,0.94,9.79,5.818,0.063,80
51.8412,159.893,35.0,4.6,32,1.408,1.03,11.95,1.939,0.098,31
50.1601,157.2531,35.0,4.7,140,2.965,0.73,5.98,1.704,0.049,124
51.5075,159.8766,11.96,4.3,27,1.695,1.4,10.02,5.6,0.116,21
51.9658,160.6815,10.0,4.1,17,1.632,0.46,5.48,1.974,0.139,15
52.2692,160.7085,10.0,4.3,23,1.464,1.07,11.92,1.93,0.125,20
53.2545,159.9288,55.409,4.4,33,0.804,0.99,12.23,5.87,0.098,30
51.2532,159.238,28.854,4.5,34,1.81,0.97,9.25,6.153,0.113,23
-16.5352,-174.7375,292.287,4.1,16,3.867,0.57,10.91,7.351,0.151,14
-9.6347,113.7339,52.334,4.6,51,1.229,0.98,7.33,7.256,0.086,40
-23.3297,178.8291,553.818,5.1,42,5.604,0.65,15.36,7.2,0.098,39
9.7295,126.1711,57.815,4.8,60,2.707,0.67,10.22,5.946,0.067,70
30.5334,103.2064,10.0,4.9,64,5.423,0.78,4.93,1.886,0.071,62
28.1665,50.0367,10.0,4.4,73,6.386,0.54,10.5,1.903,0.07,60
-24.2743,-67.2303,168.914,4.2,23,1.578,0.99,11.71,10.609,0.167,10
36.1147,70.419,107.879,4.2,77,1.911,0.88,6.67,7.511,0.069,63
36.5653,70.7257,154.345,4.4,66,2.237,0.91,6.49,7.052,0.081,44
-7.455,128.3425,134.732,4.3,14,5.952,0.71,13.07,4.298,0.187,8
-23.5226,-179.7744,558.917,4.7,103,5.934,0.75,12.51,5.869,0.038,210
44.144,86.7402,10.0,4.2,25,3.568,1.23,4.83,1.985,0.186,8
6.7319,-72.9942,168.406,4.3,43,2.293,0.7,9.69,7.438,0.075,51
-6.569,129.0086,263.635,4.1,15,4.855,0.55,10.05,13.088,0.214,6
-5.4216,34.9942,10.0,4.3,10,4.302,0.64,12.52,1.904,0.178,9
-58.0205,-25.2757,35.0,4.5,13,16.51,1.15,14.5,1.946,0.15,13
49.3716,156.3627,34.158,4.5,73,3.835,0.94,10.4,5.639,0.048,127
16.5883,41.0434,10.0,4.3,48,3.8,1.24,13.07,1.947,0.078,46
-60.0705,-62.4539,10.0,5.4,68,4.779,0.83,10.32,1.777,0.069,72
17.2366,19.5868,10.0,4.4,24,14.318,0.39,8.41,2.012,0.126,18
52.2378,160.6673,10.0,4.8,46,1.46,1.19,9.77,1.893,0.075,55
22.283,101.1732,10.0,4.1,22,1.775,0.93,10.91,1.915,0.158,12
52.4851,-175.2459,219.077,4.1,33,0.634,0.67,11.91,7.136,0.094,31
51.2127,158.899,32.829,4.3,26,1.82,0.96,10.66,6.506,0.116,24
51.8196,159.2957,46.132,4.3,37,1.269,0.77,9.35,7.58,0.106,25
52.4628,160.6428,10.0,4.3,29,1.335,1.15,9.98,1.966,0.11,23
13.5341,-91.6326,32.216,4.1,30,1.022,0.78,9.5,9.299,0.107,24
54.4797,-160.273,35.005,4.0,61,0.531,0.61,4.84,8.816,0.13,17
52.4526,160.726,10.0,4.2,17,1.386,0.99,11.03,1.936,0.175,10
50.933,157.3036,101.641,4.3,55,2.192,0.87,10.28,6.753,0.076,49
-57.9144,-25.4478,68.264,5.0,64,7.165,0.65,9.09,5.222,0.081,49
51.1389,159.7792,10.0,4.3,17,2.012,1.17,9.28,1.933,0.168,10
-24.2455,-67.0137,217.234,4.1,23,1.673,0.5,10.78,16.008,0.213,6
2.0809,97.0491,10.0,4.2,14,0.934,0.7,7.85,1.978,0.175,9
-17.9161,-178.2736,609.741,4.3,63,2.668,0.93,15.2,10.902,0.072,55
-29.1431,-68.8739,22.369,4.1,18,1.349,1.0,5.81,6.278,0.302,3
-3.3888,143.6484,10.0,4.6,17,3.067,0.37,10.67,1.899,0.137,16
4.2042,122.7437,10.0,5.0,94,2.777,0.55,6.71,1.831,0.066,73
-15.7324,-75.1923,19.376,5.1,49,4.053,0.77,9.94,4.923,0.047,148
39.7107,70.1945,15.191,4.2,41,0.596,0.59,3.51,4.475,0.104,26
-31.2441,-69.0682,115.025,4.1,33,0.454,0.78,4.19,5.251,0.214,6
-1.9432,139.1006,35.0,4.3,15,1.122,0.84,6.31,1.945,0.177,9
7.9787,126.6291,65.066,5.0,77,1.378,0.8,9.79,7.117,0.047,143
52.3824,160.1635,42.42,4.8,73,1.123,0.86,7.81,5.009,0.047,141
43.3626,-126.1887,10.0,3.6,38,1.279,0.45,4.23,2.008,0.139,14
42.1183,81.305,10.0,4.6,87,1.805,0.6,6.47,1.89,0.064,72
36.9357,141.2761,53.661,4.3,26,2.495,1.12,8.56,9.437,0.148,13
-6.2403,151.3994,10.0,4.3,26,2.02,0.47,8.94,1.76,0.106,25
-1.6228,99.6909,37.364,4.6,13,3.595,0.66,8.92,9.92,0.207,7
