changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin
m,20,6,0.85,3,25,1200,200
m,25,6,0.85,3,25,1200,200
m,30,6,0.85,3,25,1200,200
m,34,6,0.85,3,25,1200,200
m,39,6,0.85,3,25,1200,200
m,44,6,0.85,3,25,1200,200
m,49,6,0.85,3,25,1200,200
m,54,6,0.85,3,25,1200,200
m,58,6,0.85,3,25,1200,200
m,63,6,0.85,3,25,1200,200
m,68,6,0.85,3,25,1200,200
m,73,6,0.85,3,25,1200,200
m,78,6,0.85,3,25,1200,200
m,82,6,0.85,3,25,1200,200
m,87,6,0.85,3,25,1200,200
m,92,6,0.85,3,25,1200,200
m,97,6,0.85,3,25,1200,200
m,102,6,0.85,3,25,1200,200
m,106,6,0.85,3,25,1200,200
m,111,6,0.85,3,25,1200,200
m,116,6,0.85,3,25,1200,200
m,121,6,0.85,3,25,1200,200
m,126,6,0.85,3,25,1200,200
m,130,6,0.85,3,25,1200,200
m,135,6,0.85,3,25,1200,200
m,140,6,0.85,3,25,1200,200
m,145,6,0.85,3,25,1200,200
m,150,6,0.85,3,25,1200,200
m,154,6,0.85,3,25,1200,200
m,159,6,0.85,3,25,1200,200
m,164,6,0.85,3,25,1200,200
m,169,6,0.85,3,25,1200,200
m,174,6,0.85,3,25,1200,200
m,178,6,0.85,3,25,1200,200
m,183,6,0.85,3,25,1200,200
m,188,6,0.85,3,25,1200,200
m,193,6,0.85,3,25,1200,200
m,198,6,0.85,3,25,1200,200
m,202,6,0.85,3,25,1200,200
m,207,6,0.85,3,25,1200,200
m,212,6,0.85,3,25,1200,200
m,217,6,0.85,3,25,1200,200
m,222,6,0.85,3,25,1200,200
m,226,6,0.85,3,25,1200,200
m,231,6,0.85,3,25,1200,200
m,236,6,0.85,3,25,1200,200
m,241,6,0.85,3,25,1200,200
m,246,6,0.85,3,25,1200,200
m,250,6,0.85,3,25,1200,200
m,255,6,0.85,3,25,1200,200
m,260,6,0.85,3,25,1200,200
m,265,6,0.85,3,25,1200,200
m,270,6,0.85,3,25,1200,200
m,274,6,0.85,3,25,1200,200
m,279,6,0.85,3,25,1200,200
m,284,6,0.85,3,25,1200,200
m,289,6,0.85,3,25,1200,200
m,294,6,0.85,3,25,1200,200
m,298,6,0.85,3,25,1200,200
m,303,6,0.85,3,25,1200,200
m,308,6,0.85,3,25,1200,200
m,313,6,0.85,3,25,1200,200
m,318,6,0.85,3,25,1200,200
m,322,6,0.85,3,25,1200,200
m,327,6,0.85,3,25,1200,200
m,332,6,0.85,3,25,1200,200
m,337,6,0.85,3,25,1200,200
m,342,6,0.85,3,25,1200,200
m,346,6,0.85,3,25,1200,200
m,351,6,0.85,3,25,1200,200
m,356,6,0.85,3,25,1200,200
m,361,6,0.85,3,25,1200,200
m,366,6,0.85,3,25,1200,200
m,370,6,0.85,3,25,1200,200
m,375,6,0.85,3,25,1200,200
m,380,6,0.85,3,25,1200,200
m,385,6,0.85,3,25,1200,200
m,390,6,0.85,3,25,1200,200
m,394,6,0.85,3,25,1200,200
m,399,6,0.85,3,25,1200,200
m,404,6,0.85,3,25,1200,200
m,409,6,0.85,3,25,1200,200
m,414,6,0.85,3,25,1200,200
m,418,6,0.85,3,25,1200,200
m,423,6,0.85,3,25,1200,200
m,428,6,0.85,3,25,1200,200
m,433,6,0.85,3,25,1200,200
m,438,6,0.85,3,25,1200,200
m,442,6,0.85,3,25,1200,200
m,447,6,0.85,3,25,1200,200
m,452,6,0.85,3,25,1200,200
m,457,6,0.85,3,25,1200,200
m,462,6,0.85,3,25,1200,200
m,466,6,0.85,3,25,1200,200
m,471,6,0.85,3,25,1200,200
m,476,6,0.85,3,25,1200,200
m,481,6,0.85,3,25,1200,200
m,486,6,0.85,3,25,1200,200
m,490,6,0.85,3,25,1200,200
m,495,6,0.85,3,25,1200,200
m,500,6,0.85,3,25,1200,200
nu,200,1,0.85,3,25,1200,200
nu,200,2,0.85,3,25,1200,200
nu,200,3,0.85,3,25,1200,200
nu,200,4,0.85,3,25,1200,200
nu,200,5,0.85,3,25,1200,200
nu,200,6,0.85,3,25,1200,200
nu,200,7,0.85,3,25,1200,200
nu,200,8,0.85,3,25,1200,200
nu,200,9,0.85,3,25,1200,200
nu,200,10,0.85,3,25,1200,200
q,200,6,0.6,3,25,1200,200
q,200,6,0.60399,3,25,1200,200
q,200,6,0.60798,3,25,1200,200
q,200,6,0.61197,3,25,1200,200
q,200,6,0.61596,3,25,1200,200
q,200,6,0.61995,3,25,1200,200
q,200,6,0.62394,3,25,1200,200
q,200,6,0.62793,3,25,1200,200
q,200,6,0.63192,3,25,1200,200
q,200,6,0.63591,3,25,1200,200
q,200,6,0.6399,3,25,1200,200
q,200,6,0.64389,3,25,1200,200
q,200,6,0.64788,3,25,1200,200
q,200,6,0.65187,3,25,1200,200
q,200,6,0.65586,3,25,1200,200
q,200,6,0.65985,3,25,1200,200
q,200,6,0.66384,3,25,1200,200
q,200,6,0.66783,3,25,1200,200
q,200,6,0.67182,3,25,1200,200
q,200,6,0.67581,3,25,1200,200
q,200,6,0.6798,3,25,1200,200
q,200,6,0.68379,3,25,1200,200
q,200,6,0.68778,3,25,1200,200
