changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin
m,500,6,0.85,3,25,1200,200
m,600,6,0.85,3,25,1200,200
m,700,6,0.85,3,25,1200,200
m,800,6,0.85,3,25,1200,200
m,900,6,0.85,3,25,1200,200
m,1000,6,0.85,3,25,1200,200
m,1100,6,0.85,3,25,1200,200
m,1200,6,0.85,3,25,1200,200
m,1300,6,0.85,3,25,1200,200
m,1400,6,0.85,3,25,1200,200
m,1500,6,0.85,3,25,1200,200
m,1600,6,0.85,3,25,1200,200
m,1700,6,0.85,3,25,1200,200
m,1800,6,0.85,3,25,1200,200
m,1900,6,0.85,3,25,1200,200
m,2000,6,0.85,3,25,1200,200
m,2100,6,0.85,3,25,1200,200
m,2200,6,0.85,3,25,1200,200
m,2300,6,0.85,3,25,1200,200
m,2400,6,0.85,3,25,1200,200
m,2500,6,0.85,3,25,1200,200
m,2600,6,0.85,3,25,1200,200
m,2700,6,0.85,3,25,1200,200
m,2800,6,0.85,3,25,1200,200
m,2900,6,0.85,3,25,1200,200
m,3000,6,0.85,3,25,1200,200
m,3100,6,0.85,3,25,1200,200
m,3200,6,0.85,3,25,1200,200
m,3300,6,0.85,3,25,1200,200
m,3400,6,0.85,3,25,1200,200
m,3500,6,0.85,3,25,1200,200
m,3600,6,0.85,3,25,1200,200
m,3700,6,0.85,3,25,1200,200
m,3800,6,0.85,3,25,1200,200
m,3900,6,0.85,3,25,1200,200
m,4000,6,0.85,3,25,1200,200
m,4100,6,0.85,3,25,1200,200
m,4200,6,0.85,3,25,1200,200
m,4300,6,0.85,3,25,1200,200
m,4400,6,0.85,3,25,1200,200
m,4500,6,0.85,3,25,1200,200
m,4600,6,0.85,3,25,1200,200
m,4700,6,0.85,3,25,1200,200
m,4800,6,0.85,3,25,1200,200
m,4900,6,0.85,3,25,1200,200
m,5000,6,0.85,3,25,1200,200
mcmcIter,200,6,0.85,3,25,2000,200
mcmcIter,200,6,0.85,3,25,4000,200
mcmcIter,200,6,0.85,3,25,6000,200
mcmcIter,200,6,0.85,3,25,8000,200
mcmcIter,200,6,0.85,3,25,10000,200
mcmcIter,200,6,0.85,3,25,12000,200
mcmcIter,200,6,0.85,3,25,14000,200
mcmcIter,200,6,0.85,3,25,16000,200
mcmcIter,200,6,0.85,3,25,18000,200
mcmcIter,200,6,0.85,3,25,20000,200
mcmcIter,200,6,0.85,3,25,22000,200
mcmcIter,200,6,0.85,3,25,24000,200
mcmcIter,200,6,0.85,3,25,26000,200
mcmcIter,200,6,0.85,3,25,28000,200
mcmcIter,200,6,0.85,3,25,30000,200
mcmcIter,200,6,0.85,3,25,32000,200
mcmcIter,200,6,0.85,3,25,34000,200
mcmcIter,200,6,0.85,3,25,36000,200
mcmcIter,200,6,0.85,3,25,38000,200
mcmcIter,200,6,0.85,3,25,40000,200
mcmcIter,200,6,0.85,3,25,42000,200
mcmcIter,200,6,0.85,3,25,44000,200
mcmcIter,200,6,0.85,3,25,46000,200
mcmcIter,200,6,0.85,3,25,48000,200
mcmcIter,200,6,0.85,3,25,50000,200
mcmcIter,200,6,0.85,3,25,52000,200
mcmcIter,200,6,0.85,3,25,54000,200
mcmcIter,200,6,0.85,3,25,56000,200
mcmcIter,200,6,0.85,3,25,58000,200
mcmcIter,200,6,0.85,3,25,60000,200
mcmcIter,200,6,0.85,3,25,62000,200
mcmcIter,200,6,0.85,3,25,64000,200
mcmcIter,200,6,0.85,3,25,66000,200
mcmcIter,200,6,0.85,3,25,68000,200
mcmcIter,200,6,0.85,3,25,70000,200
mcmcIter,200,6,0.85,3,25,72000,200
mcmcIter,200,6,0.85,3,25,74000,200
mcmcIter,200,6,0.85,3,25,76000,200
mcmcIter,200,6,0.85,3,25,78000,200
mcmcIter,200,6,0.85,3,25,80000,200
mcmcIter,200,6,0.85,3,25,82000,200
mcmcIter,200,6,0.85,3,25,84000,200
mcmcIter,200,6,0.85,3,25,86000,200
mcmcIter,200,6,0.85,3,25,88000,200
mcmcIter,200,6,0.85,3,25,90000,200
mcmcIter,200,6,0.85,3,25,92000,200
mcmcIter,200,6,0.85,3,25,94000,200
mcmcIter,200,6,0.85,3,25,96000,200
mcmcIter,200,6,0.85,3,25,98000,200
mcmcIter,200,6,0.85,3,25,100000,200
