changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
m,20,6,0.85,3,25,1200,200,6.761,7.616,0.192,0.193
m,25,6,0.85,3,25,1200,200,7.996,9.334,0.187,0.187
m,30,6,0.85,3,25,1200,200,9.879,11.814,0.186,0.188
m,34,6,0.85,3,25,1200,200,11.323,13.338,0.182,0.182
m,39,6,0.85,3,25,1200,200,12.821,15.229,0.184,0.186
m,44,6,0.85,3,25,1200,200,14.451,15.964,0.182,0.185
m,49,6,0.85,3,25,1200,200,16.43,18.557,0.179,0.183
m,54,6,0.85,3,25,1200,200,17.939,19.505,0.181,0.185
m,58,6,0.85,3,25,1200,200,19.462,21.72,0.18,0.185
m,63,6,0.85,3,25,1200,200,20.813,23.356,0.177,0.182
m,68,6,0.85,3,25,1200,200,22.468,26.168,0.175,0.183
m,73,6,0.85,3,25,1200,200,24.475,28.135,0.174,0.181
m,82,6,0.85,3,25,1200,200,27.212,31.188,0.17,0.179
m,92,6,0.85,3,25,1200,200,30.368,34.434,0.17,0.178
m,97,6,0.85,3,25,1200,200,31.949,35.768,0.166,0.173
m,87,6,0.85,3,25,1200,200,31.204,36.852,0.171,0.179
m,78,6,0.85,3,25,1200,200,40.703,33.785,0.169,0.176
m,106,6,0.85,3,25,1200,200,35.734,40.31,0.168,0.178
m,111,6,0.85,3,25,1200,200,36.74,42.185,0.16,0.174
m,116,6,0.85,3,25,1200,200,38.072,42.693,0.158,0.168
m,126,6,0.85,3,25,1200,200,42.522,48.905,0.167,0.177
m,130,6,0.85,3,25,1200,200,43.53,49.973,0.163,0.174
m,102,6,0.85,3,25,1200,200,37.139,58.67,0.168,0.176
m,121,6,0.85,3,25,1200,200,41.117,55.637,0.166,0.177
m,135,6,0.85,3,25,1200,200,46.216,53.842,0.164,0.179
m,140,6,0.85,3,25,1200,200,51.869,60.82,0.16,0.172
m,159,6,0.85,3,25,1200,200,53.014,60.418,0.159,0.175
m,145,6,0.85,3,25,1200,200,54.493,63.116,0.164,0.178
m,154,6,0.85,3,25,1200,200,56.382,63.6,0.158,0.17
m,164,6,0.85,3,25,1200,200,55.581,65.103,0.156,0.167
m,150,6,0.85,3,25,1200,200,56.368,65.349,0.161,0.173
m,178,6,0.85,3,25,1200,200,61.103,69.564,0.158,0.175
m,183,6,0.85,3,25,1200,200,62.945,70.978,0.156,0.171
m,169,6,0.85,3,25,1200,200,71.476,66.534,0.16,0.176
m,174,6,0.85,3,25,1200,200,73.838,68.819,0.156,0.169
m,188,6,0.85,3,25,1200,200,73.911,72.222,0.156,0.167
m,207,6,0.85,3,25,1200,200,70.964,81.976,0.154,0.169
