changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
mcmcIter,200,6,0.85,3,25,2000,200,145.143,157.817,0.153,0.169
m,500,6,0.85,3,25,1200,200,211.303,230.679,0.135,0.165
m,600,6,0.85,3,25,1200,200,246.474,274.541,0.132,0.166
m,700,6,0.85,3,25,1200,200,283.939,314.707,0.125,0.161
mcmcIter,200,6,0.85,3,25,4000,200,270.526,338.677,0.146,0.167
m,800,6,0.85,3,25,1200,200,324.355,364.08,0.124,0.162
m,900,6,0.85,3,25,1200,200,365.302,419.092,0.12,0.161
m,1000,6,0.85,3,25,1200,200,403.349,457.187,0.117,0.159
mcmcIter,200,6,0.85,3,25,6000,200,403.559,514.871,0.138,0.158
m,1100,6,0.85,3,25,1200,200,440.69,506.859,0.119,0.161
m,1200,6,0.85,3,25,1200,200,482.228,550.043,0.113,0.158
m,1300,6,0.85,3,25,1200,200,518.458,598.484,0.11,0.152
m,1400,6,0.85,3,25,1200,200,559.775,642.742,0.112,0.157
mcmcIter,200,6,0.85,3,25,8000,200,530.136,672.73,0.139,0.16
m,1500,6,0.85,3,25,1200,200,604.796,686.879,0.109,0.158
m,1600,6,0.85,3,25,1200,200,637.398,730.045,0.107,0.156
m,1700,6,0.85,3,25,1200,200,683.256,766.843,0.106,0.155
m,1800,6,0.85,3,25,1200,200,717.193,827.165,0.105,0.156
m,1900,6,0.85,3,25,1200,200,754.696,849.633,0.106,0.158
m,2000,6,0.85,3,25,1200,200,798.466,888.597,0.105,0.157
m,2100,6,0.85,3,25,1200,200,833.246,967.006,0.103,0.158
m,2200,6,0.85,3,25,1200,200,869.023,975.674,0.103,0.155
m,2600,6,0.85,3,25,1200,200,1028.679,1148.825,0.1,0.155
m,3100,6,0.85,3,25,1200,200,1210.388,1424.059,0.098,0.153
m,3200,6,0.85,3,25,1200,200,1242.887,1399.974,0.098,0.158
m,3500,6,0.85,3,25,1200,200,1362.324,1523.02,0.097,0.156
m,3700,6,0.85,3,25,1200,200,1443.144,1636.04,0.096,0.156
m,4000,6,0.85,3,25,1200,200,1560.377,1764.862,0.095,0.154
m,4200,6,0.85,3,25,1200,200,1635.991,1845.201,0.094,0.152
m,4400,6,0.85,3,25,1200,200,1703.185,1928.088,0.094,0.154
m,4800,6,0.85,3,25,1200,200,1826.371,2064.886,0.096,0.157
m,4900,6,0.85,3,25,1200,200,1894.708,2130.285,0.093,0.153
m,5000,6,0.85,3,25,1200,200,1928.189,2180.891,0.094,0.153
mcmcIter,200,6,0.85,3,25,38000,200,2375.604,2907.586,0.125,0.148
