test_no.,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin
1,200,6,0.85,3,25,1200,0.1666
2,200,6,0.85,3,1,1200,0.1666
3,500,6,0.85,3,25,1200,0.1666
4,500,6,0.85,3,1,1200,0.1666
5,200,6,0.85,3,25,5000,0.1666
6,200,6,0.85,3,1,5000,0.1666
7,500,6,0.85,3,25,5000,0.1666
8,500,6,0.85,3,1,5000,0.1666
9,200,6,0.85,1,25,1200,0.1666
10,200,6,0.85,1,1,1200,0.1666
11,500,6,0.85,1,25,1200,0.1666
12,500,6,0.85,1,1,1200,0.1666
13,200,6,0.85,1,25,5000,0.1666
14,200,6,0.85,1,1,5000,0.1666
15,500,6,0.85,1,25,5000,0.1666
16,500,6,0.85,1,1,5000,0.1666
