test_no.,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
10,200,6,0.85,1,1,1200,0.1666,48.104,33.773,0.159,0.166
2,200,6,0.85,3,1,1200,0.1666,55.43,44.312,0.168,0.172
9,200,6,0.85,1,25,1200,0.1666,58.482,66.901,0.149,0.162
1,200,6,0.85,3,25,1200,0.1666,64.255,74.544,0.155,0.172
12,500,6,0.85,1,1,1200,0.1666,118.605,78.364,0.148,0.155
4,500,6,0.85,3,1,1200,0.1666,138.153,104.668,0.155,0.165
11,500,6,0.85,1,25,1200,0.1666,146.417,173.071,0.136,0.158
14,200,6,0.85,1,1,5000,0.1666,197.293,139.287,0.146,0.153
3,500,6,0.85,3,25,1200,0.1666,165.917,195.686,0.135,0.166
6,200,6,0.85,3,1,5000,0.1666,227.174,177.464,0.154,0.161
13,200,6,0.85,1,25,5000,0.1666,245.326,291.121,0.14,0.159
5,200,6,0.85,3,25,5000,0.1666,274.489,320.807,0.143,0.164
16,500,6,0.85,1,1,5000,0.1666,485.991,310.19,0.135,0.145
8,500,6,0.85,3,1,5000,0.1666,561.293,420.592,0.139,0.149
15,500,6,0.85,1,25,5000,0.1666,615.164,774.649,0.129,0.156
7,500,6,0.85,3,25,5000,0.1666,684.815,823.902,0.121,0.156
