m,nu,q,omega,lambda_c,iter,burnin
20,1,0.6,1,1,500,0.01
20,1,0.6,1,1,500,0.5
20,1,0.6,1,1,100000,0.01
20,1,0.6,1,1,100000,0.5
20,1,0.6,1,50,500,0.01
20,1,0.6,1,50,500,0.5
20,1,0.6,1,50,100000,0.01
20,1,0.6,1,50,100000,0.5
20,1,0.6,7,1,500,0.01
20,1,0.6,7,1,500,0.5
20,1,0.6,7,1,100000,0.01
20,1,0.6,7,1,100000,0.5
20,1,0.6,7,50,500,0.01
20,1,0.6,7,50,500,0.5
20,1,0.6,7,50,100000,0.01
20,1,0.6,7,50,100000,0.5
20,1,0.999,1,1,500,0.01
20,1,0.999,1,1,500,0.5
20,1,0.999,1,1,100000,0.01
20,1,0.999,1,1,100000,0.5
20,1,0.999,1,50,500,0.01
20,1,0.999,1,50,500,0.5
20,1,0.999,1,50,100000,0.01
20,1,0.999,1,50,100000,0.5
20,1,0.999,7,1,500,0.01
20,1,0.999,7,1,500,0.5
20,1,0.999,7,1,100000,0.01
20,1,0.999,7,1,100000,0.5
20,1,0.999,7,50,500,0.01
20,1,0.999,7,50,500,0.5
20,1,0.999,7,50,100000,0.01
20,1,0.999,7,50,100000,0.5
20,10,0.6,1,1,500,0.01
20,10,0.6,1,1,500,0.5
20,10,0.6,1,1,100000,0.01
20,10,0.6,1,1,100000,0.5
20,10,0.6,1,50,500,0.01
20,10,0.6,1,50,500,0.5
20,10,0.6,1,50,100000,0.01
20,10,0.6,1,50,100000,0.5
20,10,0.6,7,1,500,0.01
20,10,0.6,7,1,500,0.5
20,10,0.6,7,1,100000,0.01
20,10,0.6,7,1,100000,0.5
20,10,0.6,7,50,500,0.01
20,10,0.6,7,50,500,0.5
20,10,0.6,7,50,100000,0.01
20,10,0.6,7,50,100000,0.5
20,10,0.999,1,1,500,0.01
20,10,0.999,1,1,500,0.5
20,10,0.999,1,1,100000,0.01
20,10,0.999,1,1,100000,0.5
20,10,0.999,1,50,500,0.01
20,10,0.999,1,50,500,0.5
20,10,0.999,1,50,100000,0.01
20,10,0.999,1,50,100000,0.5
20,10,0.999,7,1,500,0.01
20,10,0.999,7,1,500,0.5
20,10,0.999,7,1,100000,0.01
20,10,0.999,7,1,100000,0.5
20,10,0.999,7,50,500,0.01
20,10,0.999,7,50,500,0.5
20,10,0.999,7,50,100000,0.01
20,10,0.999,7,50,100000,0.5
500,1,0.6,1,1,500,0.01
500,1,0.6,1,1,500,0.5
500,1,0.6,1,1,100000,0.01
500,1,0.6,1,1,100000,0.5
500,1,0.6,1,50,500,0.01
500,1,0.6,1,50,500,0.5
500,1,0.6,1,50,100000,0.01
500,1,0.6,1,50,100000,0.5
500,1,0.6,7,1,500,0.01
500,1,0.6,7,1,500,0.5
500,1,0.6,7,1,100000,0.01
500,1,0.6,7,1,100000,0.5
500,1,0.6,7,50,500,0.01
500,1,0.6,7,50,500,0.5
500,1,0.6,7,50,100000,0.01
500,1,0.6,7,50,100000,0.5
500,1,0.999,1,1,500,0.01
500,1,0.999,1,1,500,0.5
500,1,0.999,1,1,100000,0.01
500,1,0.999,1,1,100000,0.5
500,1,0.999,1,50,500,0.01
500,1,0.999,1,50,500,0.5
500,1,0.999,1,50,100000,0.01
500,1,0.999,1,50,100000,0.5
500,1,0.999,7,1,500,0.01
500,1,0.999,7,1,500,0.5
500,1,0.999,7,1,100000,0.01
500,1,0.999,7,1,100000,0.5
500,1,0.999,7,50,500,0.01
500,1,0.999,7,50,500,0.5
500,1,0.999,7,50,100000,0.01
500,1,0.999,7,50,100000,0.5
500,10,0.6,1,1,500,0.01
500,10,0.6,1,1,500,0.5
500,10,0.6,1,1,100000,0.01
500,10,0.6,1,1,100000,0.5
500,10,0.6,1,50,500,0.01
500,10,0.6,1,50,500,0.5
500,10,0.6,1,50,100000,0.01
500,10,0.6,1,50,100000,0.5
500,10,0.6,7,1,500,0.01
500,10,0.6,7,1,500,0.5
500,10,0.6,7,1,100000,0.01
500,10,0.6,7,1,100000,0.5
500,10,0.6,7,50,500,0.01
500,10,0.6,7,50,500,0.5
500,10,0.6,7,50,100000,0.01
500,10,0.6,7,50,100000,0.5
500,10,0.999,1,1,500,0.01
500,10,0.999,1,1,500,0.5
500,10,0.999,1,1,100000,0.01
500,10,0.999,1,1,100000,0.5
500,10,0.999,1,50,500,0.01
500,10,0.999,1,50,500,0.5
500,10,0.999,1,50,100000,0.01
500,10,0.999,1,50,100000,0.5
500,10,0.999,7,1,500,0.01
500,10,0.999,7,1,500,0.5
500,10,0.999,7,1,100000,0.01
500,10,0.999,7,1,100000,0.5
500,10,0.999,7,50,500,0.01
500,10,0.999,7,50,500,0.5
500,10,0.999,7,50,100000,0.01
500,10,0.999,7,50,100000,0.5
