fit1, pred1, iRMSE1, oRMSE1, fit2, pred2, iRMSE2, oRMSE2, fit3, pred3, iRMSE3, oRMSE3, fit4, pred4, iRMSE4, oRMSE4
13.075,4.285,0.751,3.616,1.34,0.83,1.091,1.388,3.29,2.34,1.221,2.233,0.448,0.22,2.329,2.992
12.849,4.309,0.83,3.58,1.459,0.695,1.179,1.46,3.379,2.078,1.271,2.217,0.429,0.218,2.288,3.002
12.715,4.212,0.85,3.786,1.351,0.72,1.067,1.356,3.463,2.036,1.198,2.245,0.451,0.222,2.24,2.989
12.65,4.291,0.84,3.701,1.662,0.737,1.136,1.531,3.336,2.108,1.313,2.202,0.441,0.217,2.284,3.054
12.483,4.259,0.799,3.788,1.316,0.734,1.068,1.368,3.336,2.013,1.274,2.21,0.438,0.282,2.238,3.096
12.635,4.2,0.75,3.671,1.545,0.689,1.03,1.395,3.24,2.068,1.239,2.192,0.46,0.215,2.261,2.992
12.602,4.34,0.743,3.788,1.406,0.712,1.162,1.438,3.292,2.112,1.209,2.174,0.497,0.244,2.298,3.007
12.529,4.261,0.711,3.766,1.454,0.727,1.257,1.571,3.284,2.015,1.216,2.263,0.463,0.247,2.231,3.089
12.696,4.382,0.789,3.838,1.467,0.69,1.06,1.523,3.249,2.182,1.246,2.232,0.418,0.219,2.231,2.959
12.616,4.292,0.757,3.747,1.458,0.681,1.135,1.554,3.506,2.167,1.271,2.232,0.422,0.266,2.253,3.168
12.818,4.3,0.8,3.773,1.39,0.739,1.193,1.46,3.443,2.068,1.182,2.161,0.431,0.237,2.252,3.023
12.455,4.302,0.8,3.694,1.515,0.776,1.025,1.371,3.407,2.211,1.165,2.176,0.475,0.221,2.261,3.024
12.617,4.293,0.81,3.621,1.39,0.737,1.005,1.41,3.434,2.065,1.219,2.215,0.464,0.219,2.241,3.111
12.645,4.212,0.783,3.512,1.523,0.693,1.11,1.535,3.432,2.132,1.191,2.134,0.506,0.224,2.234,3.109
12.857,4.272,0.777,3.881,1.399,0.765,1.036,1.507,3.359,2.196,1.145,2.192,0.436,0.227,2.269,2.976
12.751,4.372,0.787,3.784,1.379,0.736,1.025,1.261,3.284,2.063,1.232,2.308,0.464,0.217,2.279,2.999
12.925,4.307,0.767,3.804,1.329,0.788,1.266,1.584,3.435,2.099,1.18,2.256,0.429,0.225,2.265,3.133
12.663,4.442,0.775,3.922,1.384,0.777,1.105,1.488,3.334,2.172,1.181,2.169,0.427,0.214,2.264,3.025
12.767,4.32,0.729,3.566,1.442,0.71,1.156,1.397,3.441,2.073,1.228,2.228,0.426,0.217,2.325,2.947
12.709,4.36,0.781,3.525,1.412,0.686,1.115,1.442,3.248,2.017,1.343,2.234,0.42,0.216,2.291,3.086
12.829,4.31,0.744,3.574,1.439,0.8,0.917,1.191,3.408,2.207,1.226,2.185,0.518,0.216,2.232,2.878
12.533,4.394,0.776,3.626,1.418,0.695,1.122,1.381,3.323,2.156,1.253,2.243,0.426,0.216,2.264,3.023
12.727,4.171,0.783,3.79,1.435,0.719,0.898,1.182,3.346,2.105,1.201,2.182,0.425,0.249,2.24,3.095
12.642,4.359,0.824,3.465,1.451,0.825,1.127,1.394,3.33,2.154,1.168,2.267,0.424,0.213,2.22,3.032
12.716,4.235,0.803,3.655,1.397,0.728,1.088,1.245,3.449,2.095,1.296,2.131,0.423,0.258,2.198,3.163
12.733,4.306,0.76,3.633,1.467,0.691,1.102,1.318,3.351,2.141,1.276,2.143,0.428,0.222,2.236,3.058
12.668,4.316,0.811,3.528,1.401,0.753,1.026,1.307,3.432,2.16,1.252,2.303,0.446,0.256,2.249,2.994
12.625,4.345,0.835,3.71,1.388,0.691,1.16,1.536,3.403,2.079,1.209,2.307,0.429,0.296,2.261,3.037
12.763,4.204,0.726,3.768,1.432,0.679,1.024,1.302,3.455,2.117,1.225,2.292,0.424,0.221,2.224,3.136
12.703,4.395,0.85,3.683,1.332,0.731,1.017,1.334,3.198,2.015,1.249,2.225,0.499,0.345,2.272,3.029
12.645,4.278,0.8,3.706,1.387,0.696,1.253,1.58,3.597,2.155,1.283,2.228,0.433,0.217,2.252,2.996
12.681,4.343,0.751,3.548,1.406,0.713,1.069,1.421,3.396,2.176,1.268,2.172,0.53,0.222,2.291,3.042
12.615,4.308,0.715,3.736,1.4,0.763,1.026,1.448,3.325,2.029,1.217,2.246,0.477,0.222,2.221,2.977
12.443,4.361,0.771,3.599,1.337,0.73,1.08,1.435,3.35,2.062,1.253,2.262,0.438,0.359,2.267,3.028
12.546,4.211,0.814,3.722,1.462,0.684,1.088,1.461,3.541,2.219,1.175,2.192,0.464,0.216,2.208,3.061
12.614,4.393,0.792,3.493,1.366,0.67,1.07,1.445,3.304,2.005,1.368,2.247,0.511,0.304,2.201,3.048
12.592,4.27,0.852,3.603,1.363,0.734,1.059,1.46,3.368,2.04,1.245,2.161,0.496,0.228,2.192,2.997
12.564,4.418,0.766,3.725,1.408,0.729,0.918,1.359,3.275,2.121,1.251,2.267,0.439,0.336,2.26,3.065
12.411,4.263,0.83,3.705,1.353,0.694,1.087,1.584,3.514,2.208,1.206,2.179,0.457,0.262,2.251,2.995
12.556,4.33,0.816,3.683,1.398,0.737,1.117,1.445,3.382,2.088,1.245,2.223,0.538,0.239,2.189,3.022
12.561,4.267,0.798,3.498,1.384,0.823,1.059,1.545,3.343,2.141,1.271,2.213,0.457,0.264,2.197,3.025
12.548,4.377,0.74,3.739,1.416,0.703,1.056,1.469,3.294,2.049,1.26,2.219,0.529,0.264,2.326,2.994
12.667,4.21,0.794,3.554,1.431,0.685,1.088,1.332,3.356,2.1,1.238,2.333,0.45,0.267,2.238,3.086
12.392,4.437,0.914,3.61,1.384,0.773,1.212,1.603,3.224,2.032,1.239,2.185,0.533,0.256,2.31,2.958
12.631,4.286,0.777,3.788,1.399,0.697,1.16,1.579,3.336,2.013,1.271,2.298,0.431,0.215,2.244,3.0
12.531,4.358,0.775,3.7,1.494,0.691,1.134,1.556,3.147,2.069,1.249,2.166,0.434,0.222,2.276,3.072
12.69,4.261,0.814,3.767,1.353,0.727,1.147,1.369,3.461,2.091,1.241,2.201,0.452,0.223,2.207,2.94
12.68,4.328,0.796,3.587,1.376,0.68,1.084,1.331,3.28,2.022,1.216,2.189,0.44,0.213,2.24,3.13
12.692,4.231,0.823,3.574,1.412,0.76,0.938,1.255,3.483,2.193,1.193,2.18,0.471,0.26,2.245,3.064
12.575,4.402,0.796,3.471,1.39,0.703,1.159,1.433,3.308,2.008,1.244,2.165,0.438,0.257,2.274,2.965
12.722,4.171,0.776,3.667,1.552,0.67,0.894,1.203,3.344,2.044,1.296,2.312,0.424,0.265,2.238,3.119
12.569,4.449,0.821,3.581,1.352,0.756,1.014,1.329,3.331,2.087,1.259,2.158,0.544,0.217,2.15,3.079
12.69,4.316,0.778,3.569,1.401,0.698,1.17,1.529,3.376,2.005,1.275,2.226,0.472,0.218,2.304,2.976
12.658,4.337,0.815,3.686,1.437,0.728,1.09,1.617,3.537,2.33,1.126,2.207,0.475,0.376,2.211,2.998
12.517,4.292,0.779,3.549,1.386,0.773,1.075,1.417,3.435,2.174,1.266,2.174,0.486,0.255,2.277,3.061
12.484,4.38,0.778,3.579,1.39,0.739,1.037,1.512,3.354,2.118,1.189,2.267,0.474,0.279,2.273,3.008
12.591,4.239,0.81,3.681,1.445,0.744,1.221,1.61,3.266,2.148,1.232,2.257,0.436,0.215,2.255,3.04
12.41,4.419,0.805,3.692,1.3,0.78,0.996,1.293,3.286,2.123,1.268,2.162,0.487,0.374,2.219,3.068
12.466,4.315,0.812,3.694,1.373,0.767,0.92,1.193,3.369,2.086,1.271,2.218,0.437,0.218,2.251,2.956
12.459,4.404,0.79,3.645,1.437,0.867,1.094,1.574,3.261,2.191,1.111,2.264,0.427,0.372,2.277,2.947
12.476,4.272,0.859,3.883,1.368,0.772,1.041,1.337,3.439,2.124,1.24,2.235,0.419,0.216,2.249,3.053
12.739,4.429,0.814,3.76,1.439,0.683,0.983,1.285,3.219,2.068,1.257,2.151,0.43,0.329,2.219,3.153
13.089,4.262,0.787,3.635,1.551,0.71,1.159,1.479,3.444,2.21,1.233,2.217,0.425,0.216,2.25,3.064
12.448,4.359,0.841,3.822,1.377,0.731,1.021,1.196,3.259,2.078,1.202,2.218,0.523,0.288,2.243,3.033
12.416,4.166,0.886,3.627,1.335,0.705,0.968,1.137,3.357,2.092,1.219,2.292,0.463,0.22,2.173,3.052
12.26,4.33,0.802,3.646,1.414,0.779,0.984,1.279,3.215,2.063,1.177,2.207,0.461,0.214,2.263,3.049
12.567,4.232,0.752,3.681,1.449,0.685,1.21,1.371,3.484,2.141,1.239,2.197,0.42,0.211,2.247,2.955
12.542,4.278,0.789,3.664,1.452,0.726,1.162,1.366,3.289,2.232,1.249,2.181,0.415,0.213,2.29,2.999
12.59,4.278,0.747,3.767,1.385,0.675,1.096,1.398,3.463,2.11,1.213,2.139,0.447,0.237,2.21,3.151
12.445,4.381,0.769,3.764,1.366,0.72,1.081,1.528,3.222,2.036,1.222,2.328,0.434,0.248,2.278,3.06
12.586,4.299,0.789,3.607,1.39,0.744,1.14,1.423,3.286,2.104,1.16,2.214,0.421,0.215,2.219,3.083
12.404,4.384,0.739,3.59,1.359,0.737,1.128,1.514,3.344,2.072,1.19,2.246,0.415,0.223,2.276,3.049
12.59,4.207,0.754,3.587,1.449,0.814,1.004,1.273,3.3,2.145,1.159,2.252,0.426,0.262,2.21,2.986
12.581,4.428,0.76,3.789,1.336,0.744,0.965,1.3,3.395,2.121,1.179,2.285,0.472,0.242,2.208,3.121
